,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
1840,-36.2585,54590.5,-0.013429074,136.47625,-21.5797,65134.2,-0.007992481,162.8355,-196.618,-75016.8,-0.072821481,-187.542,217.987,41902.8,0.080735926,104.757,-188.349,-76829.4,-0.069758889,-192.0735,-160.071,-8645.05,-0.059285556,-21.612625,,,,,,,,,,,,,,,,,,,,,,,,
1841,-15.7554,56844.4,-0.005835333,142.111,-15.5047,65893.4,-0.005742481,164.7335,-210.287,-74952.8,-0.077884074,-187.382,190.987,-91.4268,0.070735926,-0.228567,-211.13,-75576.6,-0.078196296,-188.9415,-135.771,7635.72,-0.050285556,19.0893,,,,,,,,,,,,,,,,,,,,,,,,
1842,4.7477,58852.2,0.001758407,147.1305,-6.39225,66997.8,-0.0023675,167.4945,-215.413,-74954.9,-0.079782593,-187.38725,163.987,-30492.5,0.060735926,-76.23125,-238.13,-74103.6,-0.088196296,-185.259,-111.471,21051,-0.041285556,52.6275,,,,,,,,,,,,,,,,,,,,,,,,
1843,25.2508,60586.5,0.009352148,151.46625,8.085,68671.3,0.002994444,171.67825,-223.102,-74976.4,-0.08263037,-187.441,136.987,-51238.4,0.050735926,-128.096,-265.13,-72686.7,-0.098196296,-181.71675,-105.396,24056.4,-0.039035556,60.141,,,,,,,,,,,,,,,,,,,,,,,,
1844,45.754,62020.5,0.016945926,155.05125,30.8663,71088.5,0.011431963,177.72125,-234.635,-75059.7,-0.086901852,-187.64925,109.987,-64216.3,0.040735926,-160.54075,-268.12,-72537.7,-0.099303704,-181.34425,-96.2832,28299.1,-0.035660444,70.74775,,,,,,,,,,,,,,,,,,,,,,,,
1845,66.2571,63137.6,0.024539667,157.844,37.6163,71762.9,0.013931963,179.40725,-234.066,-73939.8,-0.086691111,-184.8495,82.9874,-71939.1,0.030736074,-179.84775,-261.37,-66611.2,-0.096803704,-166.528,-82.6145,34175.6,-0.030597963,85.439,,,,,,,,,,,,,,,,,,,,,,,,
1846,90.5571,64055.7,0.033539667,160.13925,47.7413,72715.6,0.017681963,181.789,-216.766,-39932.3,-0.080283704,-99.83075,76.2374,-73345.7,0.028236074,-183.36425,-251.245,-57631.2,-0.093053704,-144.078,-62.1113,42160,-0.023004185,105.4,,,,,,,,,,,,,,,,,,,,,,,,
1847,114.857,64562.2,0.04253963,161.4055,62.9288,74010.5,0.023306963,185.02625,-199.467,-9849.4,-0.073876667,-24.6235,69.4874,-74569.4,0.025736074,-186.4235,-236.058,-44012.7,-0.087428889,-110.03175,-37.8113,50694.7,-0.014004185,126.73675,,,,,,,,,,,,,,,,,,,,,,,,
1848,139.157,64701.5,0.05153963,161.75375,85.71,75609.2,0.031744444,189.023,-175.167,17750.3,-0.064876667,44.37575,59.3624,-76100,0.021986074,-190.25,-213.276,-25278.8,-0.078991111,-63.197,-31.7363,52731.6,-0.011754185,131.829,,,,,,,,,,,,,,,,,,,,,,,,
1849,163.457,64534.9,0.06053963,161.33725,108.491,76787.5,0.040181852,191.96875,-150.867,33469.3,-0.055876667,83.67325,44.1749,-77835.5,0.016361074,-194.58875,-186.276,-6800.65,-0.068991111,-17.001625,-25.6613,54728.3,-0.009504185,136.82075,,,,,,,,,,,,,,,,,,,,,,,,
1850,169.532,64464.5,0.06278963,161.16125,131.273,77542,0.04861963,193.855,-144.792,36277.9,-0.053626667,90.69475,21.3937,-79452.2,0.007923593,-198.6305,-159.276,8010.13,-0.058991111,20.025325,-16.5488,57655.5,-0.006129185,144.13875,,,,,,,,,,,,,,,,,,,,,,,,
1851,175.607,64377.5,0.06503963,160.94375,158.273,77955,0.05861963,194.8875,-135.679,39818.3,-0.050251481,99.54575,14.6437,-79767.8,0.005423593,-199.4195,-152.526,11277.2,-0.056491111,28.193,-2.88009,61923.5,-0.0010667,154.80875,,,,,,,,,,,,,,,,,,,,,,,,
1852,184.72,64214.3,0.068414815,160.53575,185.273,77951.4,0.06861963,194.8785,-122.011,44050.9,-0.045189259,110.12725,4.51869,-80104.1,0.001673589,-200.26025,-145.776,14381.4,-0.053991111,35.9535,19.5812,68730.4,0.007252296,171.826,,,,,,,,,,,,,,,,,,,,,,,,
1853,198.388,63907.6,0.073477037,159.769,212.273,77632.2,0.07861963,194.0805,-101.507,48961.7,-0.037595185,122.40425,-10.6688,-80359,-0.003951407,-200.8975,-135.651,18752.9,-0.050241111,46.88225,26.3312,70764.8,0.009752296,176.912,,,,,,,,,,,,,,,,,,,,,,,,
1854,218.891,63329,0.081070741,158.3225,219.023,77531.5,0.08111963,193.82875,-81.0043,52979.3,-0.030001593,132.44825,-33.4501,-80310.7,-0.012388926,-200.77675,-120.464,24747.3,-0.044616296,61.86825,36.4562,73805.4,0.013502296,184.5135,,,,,,,,,,,,,,,,,,,,,,,,
1855,239.395,62659.5,0.088664815,156.64875,229.148,77341.8,0.08486963,193.3545,-60.5012,56522.6,-0.022407852,141.3065,-40.2001,-80239.1,-0.014888926,-200.59775,-97.6827,32719.8,-0.036178778,81.7995,51.6437,78368.6,0.019127296,195.9215,,,,,,,,,,,,,,,,,,,,,,,,
1856,241.48,62594,0.089437037,156.485,244.335,77008.6,0.090494444,192.5215,-55.3754,57379.5,-0.020509407,143.44875,-50.3251,-80089.4,-0.018638926,-200.2235,-90.9327,34921.3,-0.033678778,87.30325,74.4249,85285.4,0.027564778,213.2135,,,,,,,,,,,,,,,,,,,,,,,,
1857,240.198,60106.4,0.088962222,150.266,267.116,76468,0.098931852,191.17,-50.2496,58219.9,-0.018610963,145.54975,-65.5126,-79771,-0.024263926,-199.4275,-80.8077,38091.7,-0.029928778,95.22925,81.1749,87374.9,0.030064778,218.43725,,,,,,,,,,,,,,,,,,,,,,,,
1858,238.276,56376.4,0.08825037,140.941,267.188,76466.7,0.098958519,191.16675,-42.5609,59453.6,-0.015763296,148.634,-88.2938,-79113.5,-0.032701407,-197.78375,-65.6202,42595.9,-0.024303778,106.48975,91.2999,90530.4,0.033814778,226.326,,,,,,,,,,,,,,,,,,,,,,,,
1859,235.393,50784.8,0.087182593,126.962,265.765,73465.2,0.098431481,183.663,-31.0279,61262.8,-0.011491815,153.157,-95.0438,-78895.9,-0.035201407,-197.23975,-42.839,48906.7,-0.015866296,122.26675,106.487,95320.9,0.03943963,238.30225,,,,,,,,,,,,,,,,,,,,,,,,
1860,231.068,42406.8,0.085580741,106.017,264.341,70465,0.097904074,176.1625,-13.7284,63933.5,-0.005084593,159.83375,-105.169,-78539.1,-0.038951481,-196.34775,-36.089,50705.3,-0.013366296,126.76325,129.269,102602,0.047877407,256.505,,,,,,,,,,,,,,,,,,,,,,,,
1861,224.581,30140.2,0.083178148,75.3505,262.917,67466,0.097376667,168.665,-7.65342,64880.4,-0.0028346,162.201,-120.356,-77951,-0.044576296,-194.8775,-25.964,53339.4,-0.009616296,133.3485,152.05,109867,0.056314815,274.6675,,,,,,,,,,,,,,,,,,,,,,,,
1862,214.85,13789.9,0.079574074,34.47475,260.781,62970,0.096585556,157.425,1.6212,66318.7,0.000600444,165.79675,-143.138,-76969.9,-0.053014074,-192.42475,-10.7765,57177.7,-0.003991296,142.94425,174.831,116787,0.064752222,291.9675,,,,,,,,,,,,,,,,,,,,,,,,
1863,200.253,-4203.34,0.074167778,-10.50835,257.578,56231.6,0.095399259,140.579,16.8087,68671.2,0.006225444,171.678,-170.138,-75689,-0.063014074,-189.2225,12.0048,62758.1,0.004446222,156.89525,201.831,123978,0.074752222,309.945,,,,,,,,,,,,,,,,,,,,,,,,
1864,178.358,-21453.1,0.066058519,-53.63275,252.772,46140.9,0.093619259,115.35225,39.59,72231.6,0.014662963,180.579,-176.888,-75362.5,-0.065514074,-188.40625,18.7548,64399.7,0.006946222,160.99925,228.831,129692,0.084752222,324.23,,,,,,,,,,,,,,,,,,,,,,,,
1865,154.058,-32996.2,0.057058519,-82.4905,245.564,31513.2,0.09094963,78.783,45.2853,73144.6,0.016772333,182.8615,-183.638,-75029.1,-0.068014074,-187.57275,28.8798,66852,0.010696222,167.13,255.831,133651,0.094752222,334.1275,,,,,,,,,,,,,,,,,,,,,,,,
1866,129.758,-40348.4,0.048058519,-100.871,234.752,12101.7,0.086945185,30.25425,50.9806,74055,0.018881704,185.1375,-193.763,-74518.1,-0.071764074,-186.29525,44.0673,70526.4,0.016321222,176.316,257.169,133812,0.095247778,334.53,,,,,,,,,,,,,,,,,,,,,,,,
1867,105.458,-45619.3,0.039058519,-114.04825,218.534,-9701.32,0.080938519,-24.2533,59.5235,75412.8,0.022045741,188.532,-208.95,-73735.9,-0.077388889,-184.33975,66.8485,76076.4,0.024758704,190.191,255.481,130128,0.094622593,325.32,,,,,,,,,,,,,,,,,,,,,,,,
1868,81.1584,-49663.5,0.030058667,-124.15875,194.206,-30396.1,0.071928148,-75.99025,72.338,77428.3,0.026791852,193.57075,-231.731,-72548.8,-0.085826296,-181.372,93.8485,82792.4,0.034758704,206.981,253.794,126446,0.093997778,316.115,,,,,,,,,,,,,,,,,,,,,,,,
1869,56.8584,-52857.3,0.021058667,-132.14325,167.206,-43431.2,0.061928148,-108.578,91.5597,80372.5,0.033911,200.93125,-258.731,-71166.2,-0.095826296,-177.9155,100.599,84511.8,0.037258889,211.2795,251.263,120924,0.09306037,302.31,,,,,,,,,,,,,,,,,,,,,,,,
1870,32.5584,-55352.4,0.012058667,-138.381,140.206,-51552.4,0.051928148,-128.881,98.3097,81390.9,0.036411,203.47725,-265.481,-70834.2,-0.098326296,-177.0855,107.349,86240.2,0.039758889,215.6005,247.466,112646,0.091654074,281.615,,,,,,,,,,,,,,,,,,,,,,,,
1871,8.25845,-57252.6,0.003058685,-143.1315,113.206,-57341.7,0.041928148,-143.35425,108.435,82864,0.040161111,207.16,-264.394,-69899.7,-0.097923704,-174.74925,117.474,88845.8,0.043508889,222.1145,241.77,100245,0.089544444,250.6125,,,,,,,,,,,,,,,,,,,,,,,,
1872,-16.0416,-58628,-0.005941333,-146.57,86.2061,-61750.9,0.031928185,-154.37725,123.622,84936.6,0.045785926,212.3415,-249.206,-56718.5,-0.092298519,-141.79625,132.661,92774.4,0.049133704,231.936,233.227,81697.9,0.08638037,204.24475,,,,,,,,,,,,,,,,,,,,,,,,
1873,-22.1166,-58908.7,-0.008191333,-147.27175,59.2061,-65173.7,0.021928185,-162.93425,146.403,87673.6,0.054223333,219.184,-226.425,-36845.8,-0.083861111,-92.1145,155.442,98629.1,0.057571111,246.57275,220.413,54595.1,0.081634444,136.48775,,,,,,,,,,,,,,,,,,,,,,,,
1874,-28.1916,-59161,-0.010441333,-147.9025,32.2061,-67762.7,0.011928185,-169.40675,169.185,89843,0.062661111,224.6075,-199.425,-16467.1,-0.073861111,-41.16775,182.442,105220,0.067571111,263.05,201.191,18293.3,0.074515185,45.73325,,,,,,,,,,,,,,,,,,,,,,,,
1875,-37.3041,-59489.1,-0.013816333,-148.72275,5.20612,-69616.1,0.001928193,-174.04025,191.966,91316.3,0.071098519,228.29075,-172.425,48.3877,-0.063861111,0.12096925,209.442,110931,0.077571111,277.3275,174.191,-20405.6,0.064515185,-51.014,,,,,,,,,,,,,,,,,,,,,,,,
1876,-50.9728,-59880.8,-0.018878815,-149.702,-21.7939,-70858.9,-0.008071815,-177.14725,218.966,92150.5,0.081098519,230.37625,-165.675,3667.39,-0.061361111,9.168475,236.442,115443,0.087571111,288.6075,147.191,-46578.3,0.054515185,-116.44575,,,,,,,,,,,,,,,,,,,,,,,,
1877,-71.4759,-60285.7,-0.026472556,-150.71425,-28.5439,-71103.8,-0.010571815,-177.7595,245.966,92140,0.091098519,230.35,-155.55,8735.71,-0.057611111,21.839275,263.442,118643,0.097571111,296.6075,120.191,-62736.1,0.044515185,-156.84025,,,,,,,,,,,,,,,,,,,,,,,,
1878,-77.5509,-60382.6,-0.028722556,-150.9565,-35.2939,-71318.2,-0.013071815,-178.2955,252.716,92054.9,0.093598519,230.13725,-140.362,15616.1,-0.051985926,39.04025,269.808,119230,0.099928889,298.075,113.441,-65632.9,0.042015185,-164.08225,,,,,,,,,,,,,,,,,,,,,,,,
1879,-86.6634,-60501.9,-0.032097556,-151.25475,-45.4189,-71588.8,-0.016821815,-178.972,259.466,91929.4,0.096098519,229.8235,-117.581,24601.1,-0.043548519,61.50275,268.12,116102,0.099303704,290.255,103.316,-69266.8,0.038265185,-173.167,,,,,,,,,,,,,,,,,,,,,,,,
1880,-100.332,-60640.1,-0.03716,-151.60025,-60.6064,-71894.2,-0.022446815,-179.7355,269.591,91677,0.099848519,229.1925,-110.831,27030.6,-0.041048519,67.5765,265.589,111414,0.098366296,278.535,88.1288,-73455.7,0.032640296,-183.63925,,,,,,,,,,,,,,,,,,,,,,,,
1881,-120.835,-60785.7,-0.044753704,-151.96425,-66.3017,-71990.6,-0.024556185,-179.9765,266.612,84761,0.098745185,211.9025,-100.706,30491.6,-0.037298519,76.229,261.792,104388,0.09696,260.97,65.3476,-77700.1,0.024202815,-194.25025,,,,,,,,,,,,,,,,,,,,,,,,
1882,-126.91,-60828.3,-0.047003704,-152.07075,-74.8447,-72112.4,-0.027720259,-180.281,262.815,75949.9,0.097338889,189.87475,-85.5187,35352.5,-0.031673593,88.38125,256.097,93867.9,0.094850741,234.66975,58.5976,-78643.2,0.021702815,-196.608,,,,,,,,,,,,,,,,,,,,,,,,
1883,-136.023,-60883.3,-0.050378889,-152.20825,-87.6591,-72253.4,-0.032466333,-180.6335,259.018,67144.6,0.095932593,167.8615,-62.7374,42077.5,-0.023236074,105.19375,247.554,78137.5,0.091686667,195.34375,48.4726,-79806.5,0.017952815,-199.51625,,,,,,,,,,,,,,,,,,,,,,,,
1884,-149.692,-60958.7,-0.055441481,-152.39675,-106.881,-72404.6,-0.039585556,-181.0115,253.323,53962.9,0.093823333,134.90725,-55.9874,43979.5,-0.020736074,109.94875,234.739,54987.3,0.08694037,137.46825,33.2851,-81080.6,0.012327815,-202.7015,,,,,,,,,,,,,,,,,,,,,,,,
1885,-154.817,-60990.7,-0.05733963,-152.47675,-113.631,-72457.7,-0.042085556,-181.14425,244.78,34835.6,0.090659259,87.089,-45.8624,46750.8,-0.016986074,116.877,215.518,23286.4,0.079821481,58.216,10.5038,-82147.9,0.003890296,-205.36975,,,,,,,,,,,,,,,,,,,,,,,,
1886,-162.506,-61036.9,-0.060187407,-152.59225,-123.756,-72529.7,-0.045835556,-181.32425,231.966,9699.18,0.085913333,24.24795,-30.6749,50746.7,-0.011361074,126.86675,188.518,-11414.1,0.069821481,-28.53525,3.75381,-82334.3,0.0013903,-205.83575,,,,,,,,,,,,,,,,,,,,,,,,
1887,-174.039,-61109.4,-0.064458889,-152.7735,-138.943,-72635,-0.05146037,-181.5875,212.744,-18468.6,0.078794074,-46.1715,-7.89369,56464.1,-0.002923589,141.16025,161.518,-35770,0.059821481,-89.425,-6.37119,-82501.8,-0.0023597,-206.2545,,,,,,,,,,,,,,,,,,,,,,,,
1888,-191.339,-61232.3,-0.070866296,-153.08075,-144.639,-72682.9,-0.05357,-181.70725,185.744,-42284.3,0.068794074,-105.71075,-1.14369,58120.1,-0.000423589,145.30025,134.518,-51687,0.049821481,-129.2175,-21.5587,-82541.3,-0.007984704,-206.35325,,,,,,,,,,,,,,,,,,,,,,,,
1889,-197.414,-61285.6,-0.073116296,-153.214,-153.182,-72755.8,-0.056734074,-181.8895,158.744,-55821.2,0.058794074,-139.553,8.98131,60564.8,0.003326411,151.412,127.768,-54653,0.047321481,-136.6325,-44.3399,-82241.4,-0.016422185,-205.6035,,,,,,,,,,,,,,,,,,,,,,,,
1890,-206.526,-61367.7,-0.076491111,-153.41925,-165.996,-72873.7,-0.06148,-182.18425,131.744,-64010.4,0.048794074,-160.026,24.1688,64175.9,0.008951407,160.43975,117.643,-58449.9,0.043571481,-146.12475,-51.0899,-82107,-0.018922185,-205.2675,,,,,,,,,,,,,,,,,,,,,,,,
1891,-220.195,-61502.3,-0.081553704,-153.75575,-185.218,-73084.1,-0.068599259,-182.71025,104.744,-68815.4,0.038794074,-172.0385,46.9501,69539.8,0.017388926,173.8495,102.455,-62972.4,0.037946296,-157.431,-61.2149,-81869.3,-0.022672185,-204.67325,,,,,,,,,,,,,,,,,,,,,,,,
1892,-240.698,-61728.2,-0.089147407,-154.3205,-191.968,-73178.9,-0.071099259,-182.94725,77.744,-71422.1,0.028794074,-178.55525,53.7001,71138.1,0.019888926,177.84525,79.6739,-67808.9,0.029508852,-169.52225,-76.4024,-81435.3,-0.028297185,-203.58825,,,,,,,,,,,,,,,,,,,,,,,,
1893,-240.176,-60759.5,-0.088954074,-151.89875,-202.093,-73329.5,-0.074849259,-183.32375,70.994,-71875.3,0.026294074,-179.68825,63.8251,73537.5,0.023638926,183.84375,72.9239,-68922.9,0.027008852,-172.30725,-99.1837,-80615.7,-0.036734704,-201.53925,,,,,,,,,,,,,,,,,,,,,,,,
1894,-235.051,-51244.5,-0.087055926,-128.11125,-217.28,-73578.9,-0.080474074,-183.94725,60.869,-72408.6,0.022544074,-181.0215,79.0126,77156.2,0.029263926,192.8905,62.7989,-70344.6,0.023258852,-175.8615,-105.934,-80352.4,-0.039234815,-200.881,,,,,,,,,,,,,,,,,,,,,,,,
1895,-229.925,-41741.2,-0.085157407,-104.353,-240.061,-74019.7,-0.088911481,-185.04925,45.6815,-72959.5,0.016919074,-182.39875,101.794,82639.4,0.037701481,206.5985,47.6114,-72007.2,0.017633852,-180.018,-116.059,-79929.3,-0.042984815,-199.82325,,,,,,,,,,,,,,,,,,,,,,,,
1896,-222.236,-27813.5,-0.08230963,-69.53375,-246.811,-74176.4,-0.091411481,-185.441,39.9862,-73116,0.014809704,-182.79,108.544,84286,0.040201481,210.715,24.8302,-73658.2,0.00919637,-184.1455,-131.246,-79238.3,-0.04860963,-198.09575,,,,,,,,,,,,,,,,,,,,,,,,
1897,-210.703,-10216.8,-0.078038148,-25.542,-256.936,-74414.3,-0.095161481,-186.03575,31.4433,-73290.8,0.011645667,-183.227,118.669,86757.4,0.043951481,216.8935,18.0802,-74014.3,0.00669637,-185.03575,-154.027,-78104.5,-0.057047037,-195.26125,,,,,,,,,,,,,,,,,,,,,,,,
1898,-193.404,9120.79,-0.071631111,22.801975,-267.876,-74687.9,-0.099213333,-186.71975,18.6288,-73451.6,0.006899556,-183.629,133.856,90452.5,0.049576296,226.13125,7.95519,-74437.4,0.002946367,-186.0935,-181.027,-76665.4,-0.067047037,-191.6635,,,,,,,,,,,,,,,,,,,,,,,,
1899,-169.104,25243.8,-0.062631111,63.1095,-266.452,-71798.2,-0.098685926,-179.4955,-0.59288,-73524.3,-0.000219585,-183.81075,156.638,95872.1,0.058014074,239.68025,-7.23231,-74853.5,-0.002678633,-187.13375,-187.777,-76299.4,-0.069547037,-190.7485,,,,,,,,,,,,,,,,,,,,,,,,
1900,-163.029,28043.6,-0.060381111,70.109,-264.316,-67465.9,-0.097894815,-168.66475,-7.34288,-73529.3,-0.002719585,-183.82325,183.638,101806,0.068014074,254.515,-30.0136,-75088.8,-0.011116148,-187.722,-194.527,-75927.3,-0.072047037,-189.81825,,,,,,,,,,,,,,,,,,,,,,,,
1901,-153.916,31592,-0.057005926,78.98,-261.113,-60972.8,-0.096708519,-152.432,-17.4679,-73505.1,-0.006469593,-183.76275,210.638,106785,0.078014074,266.9625,-36.7636,-75101.6,-0.013616148,-187.754,-204.652,-75358.8,-0.075797037,-188.397,,,,,,,,,,,,,,,,,,,,,,,,
1902,-140.247,35838.9,-0.051943333,89.59725,-256.307,-51247.6,-0.094928519,-128.119,-32.6554,-73421.9,-0.012094593,-183.55475,237.638,110582,0.088014074,276.455,-46.8886,-75068.7,-0.017366148,-187.67175,-219.84,-74493.5,-0.081422222,-186.23375,,,,,,,,,,,,,,,,,,,,,,,,
1903,-119.744,40573.7,-0.04434963,101.43425,-249.099,-36810.5,-0.092258889,-92.02625,-38.3507,-73389.2,-0.014203963,-183.473,264.638,113074,0.098014074,282.685,-62.0761,-74936.5,-0.022991148,-187.34125,-242.621,-73198.5,-0.08985963,-182.99625,,,,,,,,,,,,,,,,,,,,,,,,
1904,-113.669,41731.1,-0.04209963,104.32775,-238.287,-17322.3,-0.088254444,-43.30575,-46.8937,-73329.8,-0.017368037,-183.3245,268.612,113366,0.099485926,283.415,-84.8573,-74553.3,-0.03142863,-186.38325,-269.621,-71712.3,-0.09985963,-179.28075,,,,,,,,,,,,,,,,,,,,,,,,
1905,-104.557,43288,-0.038724815,108.22,-222.069,5647.84,-0.082247778,14.1196,-59.7081,-73215.8,-0.022114111,-183.0395,266.081,108867,0.098548519,272.1675,-91.6073,-74418,-0.03392863,-186.045,-263.629,-66409,-0.09764037,-166.0225,,,,,,,,,,,,,,,,,,,,,,,,
1906,-90.8879,45307.9,-0.033662185,113.26975,-197.741,27991.7,-0.073237407,69.97925,-78.9298,-73012.8,-0.029233259,-182.532,262.284,102124,0.097142222,255.31,-101.732,-74185.5,-0.037678519,-185.46375,-256.879,-60384.5,-0.09514037,-150.96125,,,,,,,,,,,,,,,,,,,,,,,,
1907,-70.3848,47841.2,-0.026068444,119.603,-170.741,41270.3,-0.063237407,103.17575,-98.1515,-72818.8,-0.036352407,-182.047,256.589,92027.1,0.095032963,230.06775,-116.92,-73782,-0.043303704,-184.455,-246.754,-51250.9,-0.09139037,-128.12725,,,,,,,,,,,,,,,,,,,,,,,,
1908,-64.3098,48520.4,-0.023818444,121.301,-163.991,43607.5,-0.060737407,109.01875,-102.957,-72785.9,-0.038132222,-181.96475,248.046,76930.8,0.091868889,192.327,-139.701,-73078.6,-0.051741111,-182.6965,-231.566,-37651.4,-0.085765185,-94.1285,,,,,,,,,,,,,,,,,,,,,,,,
1909,-55.1973,49475.1,-0.020443444,123.68775,-157.241,45639.7,-0.058237407,114.09925,-107.762,-72753.8,-0.039911852,-181.8845,235.232,54649.7,0.087122963,136.62425,-166.701,-72142.4,-0.061741111,-180.356,-208.785,-19706.7,-0.077327778,-49.26675,,,,,,,,,,,,,,,,,,,,,,,,
1910,-41.5286,50789.5,-0.015380963,126.97375,-147.116,48236.1,-0.054487407,120.59025,-114.97,-72706.8,-0.042581481,-181.767,216.01,24063.7,0.080003704,60.15925,-193.701,-71145.3,-0.071741111,-177.86325,-181.785,-2284.31,-0.067327778,-5.710775,,,,,,,,,,,,,,,,,,,,,,,,
1911,-21.0254,52548.5,-0.007787185,131.37125,-131.929,51375.9,-0.048862593,128.43975,-125.783,-72648.1,-0.046586296,-181.62025,189.01,-9439.82,0.070003704,-23.59955,-220.701,-70130.9,-0.081741111,-175.32725,-154.785,11641.8,-0.057327778,29.1045,,,,,,,,,,,,,,,,,,,,,,,,
1912,-14.9504,53035.7,-0.005537185,132.58925,-109.148,54945,-0.040425185,137.3625,-142.001,-72610.3,-0.052592963,-181.52575,162.01,-33078.1,0.060003704,-82.69525,-247.701,-69124.7,-0.091741111,-172.81175,-148.035,14719.8,-0.054827778,36.7995,,,,,,,,,,,,,,,,,,,,,,,,
1913,-5.83794,53729.3,-0.0021622,134.32325,-102.398,55843,-0.037925185,139.6075,-148.083,-72624.4,-0.054845556,-181.561,135.01,-48749.4,0.050003704,-121.8735,-265.299,-68493,-0.098258889,-171.2325,-141.285,17647.3,-0.052327778,44.11825,,,,,,,,,,,,,,,,,,,,,,,,
1914,8.7009,54754,0.003222556,136.885,-92.2726,57071,-0.034175037,142.6775,-157.206,-72662,-0.058224444,-181.655,128.26,-51700.4,0.047503704,-129.251,-258.549,-63013.4,-0.095758889,-157.5335,-131.16,21778,-0.048577778,54.445,,,,,,,,,,,,,,,,,,,,,,,,
1915,31.4822,56154.4,0.011660074,140.386,-77.0851,58708.9,-0.028550037,146.77225,-170.89,-72767.1,-0.063292593,-181.91775,118.135,-55497.1,0.043753704,-138.74275,-251.799,-57492.5,-0.093258889,-143.73125,-115.973,27457.5,-0.042952963,68.64375,,,,,,,,,,,,,,,,,,,,,,,,
1916,54.2634,57303.1,0.020097556,143.25775,-54.3039,60864,-0.020112556,152.16,-191.416,-73049.2,-0.070894815,-182.623,102.947,-60048.6,0.038128519,-150.1215,-241.674,-49136.7,-0.089508889,-122.84175,-93.1913,35074.7,-0.034515296,87.68675,,,,,,,,,,,,,,,,,,,,,,,,
1917,77.0446,58184.2,0.028535037,145.4605,-47.5539,61469.7,-0.017612556,153.67425,-198.166,-73192,-0.073394815,-182.98,80.1662,-64973.9,0.029691185,-162.43475,-226.486,-36650.7,-0.083883704,-91.62675,-86.4413,37196.7,-0.032015296,92.99175,,,,,,,,,,,,,,,,,,,,,,,,
1918,99.8259,58809,0.036972556,147.0225,-37.4289,62342.3,-0.013862556,155.85575,-208.291,-73431.4,-0.077144815,-183.5785,66.6662,-67132.8,0.024691185,-167.832,-203.705,-19938.8,-0.075446296,-49.847,-76.3163,40268.2,-0.028265296,100.6705,,,,,,,,,,,,,,,,,,,,,,,,
1919,122.607,59185.2,0.04541,147.963,-22.2414,63584.7,-0.008237556,158.96175,-223.479,-73860,-0.08277,-184.65,46.4162,-69548.5,0.017191185,-173.87125,-176.705,-3496.95,-0.065446296,-8.742375,-61.1288,44656.5,-0.022640296,111.64125,,,,,,,,,,,,,,,,,,,,,,,,
1920,145.388,59341.1,0.053847407,148.35275,0.539869,65322.1,0.000199951,163.30525,-229.174,-74052.9,-0.084879259,-185.13225,39.6662,-70191.5,0.014691185,-175.47875,-149.705,9675.25,-0.055446296,24.188125,-38.3476,50843,-0.014202815,127.1075,,,,,,,,,,,,,,,,,,,,,,,,
1921,151.084,59359.8,0.055957037,148.3995,7.28987,65822.1,0.002699952,164.55525,-237.717,-74362.8,-0.088043333,-185.907,29.5412,-71005.5,0.010941185,-177.51375,-142.955,12579.5,-0.052946296,31.44875,-31.5976,52615.9,-0.011702815,131.53975,,,,,,,,,,,,,,,,,,,,,,,,
1922,156.779,59366.7,0.058066296,148.41675,17.4149,66545.2,0.006449963,166.363,-250.531,-74880.4,-0.092789259,-187.201,14.3537,-71929.9,0.005316185,-179.82475,-136.205,15347.8,-0.050446296,38.3695,-21.4726,55215.8,-0.007952815,138.0395,,,,,,,,,,,,,,,,,,,,,,,,
1923,165.322,59356.6,0.06123037,148.3915,32.6024,67569.9,0.012074963,168.92475,-269.753,-75776.8,-0.099908519,-189.442,-8.4276,-72760.7,-0.003121333,-181.90175,-126.08,19256.4,-0.046696296,48.141,-6.28506,59011.5,-0.0023278,147.52875,,,,,,,,,,,,,,,,,,,,,,,,
1924,178.136,59304.6,0.065976296,148.2615,55.3836,68950.4,0.020512444,172.376,-269.046,-74356.3,-0.099646667,-185.89075,-15.1776,-72914,-0.005621333,-182.285,-110.893,24634.7,-0.041071481,61.58675,16.4962,64591.4,0.006109704,161.4785,,,,,,,,,,,,,,,,,,,,,,,,
1925,197.358,59158.8,0.073095556,147.897,82.3836,70312.8,0.030512444,175.782,-267.844,-71944.7,-0.099201481,-179.86175,-25.3026,-73065.1,-0.009371333,-182.66275,-88.1114,31836.2,-0.032633852,79.5905,23.2462,66247.1,0.008609704,165.61775,,,,,,,,,,,,,,,,,,,,,,,,
